,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingPercent,steamRatingCount,releaseDate,lastChange,dealRating
0,0.0,19.99,1,100.0,0,93,2639,1607040000,1635438437,10.0
1,10.0,99.99,1,89.999,0,76,15186,0,1635402588,10.0
2,10.0,99.99,1,89.999,0,76,15186,0,1635388357,10.0
3,9.99,99.99,1,90.009001,0,76,15186,0,1635375672,10.0
4,11.87,99.99,1,88.128813,0,0,0,0,1635423910,10.0
5,13.49,89.99,1,85.009445,0,0,0,0,1635560644,10.0
6,11.04,99.99,1,88.958896,0,0,0,0,1635255663,10.0
7,17.69,148.99,1,88.12671999999998,0,0,0,0,1635424137,10.0
8,11.69,99.99,1,88.30883100000001,0,0,0,0,1635238382,10.0
9,12.19,99.99,1,87.80878100000002,0,0,0,0,1635266580,10.0
10,13.0,99.99,1,86.9987,0,0,0,0,1635209866,10.0
11,16.45,148.99,1,88.958991,0,0,0,0,1635256203,10.0
12,17.42,148.99,1,88.30794,0,0,0,0,1635238647,10.0
13,12.99,99.99,1,87.008701,0,0,0,0,1635204832,10.0
14,13.0,99.99,1,86.9987,0,0,0,0,1635176260,10.0
15,18.19,148.99,1,87.791127,0,0,0,0,1635266841,10.0
16,15.99,79.99,1,80.010001,0,0,0,0,1635465653,9.9
17,17.59,87.97,1,80.004547,0,0,0,0,1635465699,9.9
18,19.37,148.99,1,86.999127,0,0,0,0,1635176417,9.7
19,1.99,19.99,1,90.045023,68,77,135,1610582400,1635343461,9.6
20,5.48,59.99,1,90.865144,88,84,50267,1454630400,1635423966,9.6
21,2.99,19.99,1,85.042521,91,92,19184,1382400000,1635448689,9.6
22,19.89,99.99,1,80.108011,0,0,0,0,1635434341,9.6
23,3.74,24.99,1,85.034014,91,88,120,1468281600,1635450951,9.6
24,12.99,99.99,1,87.008701,0,0,0,0,1634939738,9.6
25,13.0,99.99,1,86.9987,0,0,0,0,1634893312,9.6
26,5.99,59.99,1,90.01500300000002,88,84,50267,1454630400,1635448217,9.5
27,3.99,39.99,1,90.022506,85,96,22769,1480982400,1635495777,9.5
28,1.89,18.99,1,90.047393,0,0,0,1631232000,1635443298,9.5
29,2.99,19.99,1,85.042521,91,92,19184,1382400000,1635343037,9.5
30,1.99,19.99,1,90.045023,85,95,14935,1283904000,1635448515,9.5
31,33.98,99.99,1,66.016602,0,0,0,1623283200,1635165704,9.4
32,4.91,59.99,1,91.815303,88,84,50267,1454630400,1635255586,9.4
33,0.98,8.99,1,89.09899899999998,85,81,1732,1085443200,1635449465,9.4
34,0.98,8.99,1,89.09899899999998,83,82,3985,1181001600,1635475458,9.4
35,0.9,8.99,1,89.988877,84,89,437,1446076800,1635465394,9.4
36,6.39,39.99,1,84.021005,87,85,68008,1376352000,1635668124,9.4
37,1.49,14.99,1,90.06004,84,90,36772,1269302400,1635448783,9.4
38,1.89,18.99,1,90.047393,0,0,0,1629331200,1635440844,9.4
39,5.99,59.99,1,90.01500300000002,88,84,50267,1454630400,1635343350,9.4
40,1.89,18.99,1,90.047393,0,0,0,1629244800,1635459886,9.4
41,0.97,6.99,1,86.12303299999998,87,93,1265,953769600,1635449374,9.4
42,3.99,39.99,1,90.022506,85,96,22769,1480982400,1635448597,9.4
43,5.39,59.99,1,91.015169,88,84,50267,1454630400,1635238308,9.4
44,35.99,99.99,1,64.006401,0,0,0,1623283200,1635238680,9.3
45,14.99,99.99,1,85.008501,0,0,0,0,1634939748,9.3
46,2.09,14.99,1,86.057372,87,94,21137,1291075200,1635448731,9.3
47,4.79,29.99,1,84.028009,85,93,129194,1425945600,1635668196,9.3
48,5.65,59.99,1,90.581764,88,84,50267,1454630400,1635266377,9.3
49,2.99,19.99,1,85.042521,88,90,60680,1305590400,1635448378,9.3
50,2.24,14.99,1,85.05670400000002,86,96,121825,1362355200,1635475487,9.3
51,18.88,99.99,1,81.118112,0,0,0,0,1635121274,9.3
52,0.97,6.99,1,86.12303299999998,86,78,2549,1017532800,1635449585,9.3
53,3.59,11.99,1,70.058382,78,78,696,1621900800,1635449059,9.3
54,19.37,148.99,1,86.999127,0,0,0,0,1634893575,9.3
55,19.37,148.99,1,86.999127,0,0,0,0,1634868551,9.3
56,0.98,8.99,1,89.09899899999998,83,82,3985,1181001600,1635448788,9.3
57,0.98,8.99,1,89.09899899999998,83,82,3985,1181001600,1635430283,9.3
58,7.99,39.99,1,80.020005,93,97,512395,1431907200,1635448171,9.3
59,1.34,17.95,1,92.534819,79,91,218,1231286400,1635450213,9.3
60,18.67,79.99,1,76.659582,0,0,0,0,1635374233,9.3
61,1.99,19.99,1,90.045023,86,91,14848,1224460800,1635271299,9.3
62,0.49,4.99,1,90.180361,81,88,1339,1061856000,1635449963,9.3
63,6.0,59.99,1,89.998333,88,84,50267,1454630400,1635209804,9.3
64,2.24,14.99,1,85.05670400000002,87,93,4371,1369872000,1635449579,9.3
65,0.59,5.99,1,90.15025,81,87,2219,1032652800,1635450085,9.3
66,19.81,148.99,1,86.703806,0,0,0,0,1634939741,9.2
67,0.98,8.99,1,89.09899899999998,80,76,3882,1226966400,1635475446,9.2
68,19.49,99.99,1,80.508051,0,0,0,0,1635194832,9.2
69,3.99,39.99,1,90.022506,85,96,22769,1480982400,1635343377,9.2
70,3.99,39.99,1,90.022506,85,96,22769,1480982400,1635375904,9.2
71,1.99,9.99,1,80.08008000000002,89,97,387791,1258329600,1635468006,9.2
72,1.99,9.99,1,80.08008000000002,89,95,29310,1226880000,1635468117,9.2
73,5.48,29.99,1,81.727242,94,95,87200,1364169600,1635199166,9.2
74,5.49,29.99,1,81.693898,94,95,87200,1364169600,1635195902,9.2
75,1.29,12.99,1,90.069284,81,93,2108,1468972800,1635448976,9.2
76,1.49,9.99,1,85.08508499999998,86,89,57408,1221523200,1635448487,9.2
77,1.99,19.99,1,90.045023,79,89,1516,1377734400,1635495615,9.2
78,1.6,19.99,1,91.995998,76,85,2086,1456790400,1635498140,9.2
79,2.35,29.99,1,92.164055,79,82,12173,1445558400,1635434223,9.2
80,0.49,4.99,1,90.180361,80,88,1516,1264636800,1635451296,9.2
81,1.99,9.99,1,80.08008000000002,90,97,557,1485734400,1635449950,9.2
82,1.99,19.99,1,90.045023,81,88,213,1557964800,1635449585,9.2
83,0.79,7.99,1,90.112641,80,62,909,1037232000,1635451016,9.2
84,0.79,7.99,1,90.112641,80,94,1954,1116374400,1635448660,9.2
85,4.79,29.99,1,84.028009,83,91,47468,1444089600,1635668757,9.2
86,23.39,129.99,1,82.00630799999998,0,0,0,0,1635147019,9.2
87,2.99,19.99,1,85.042521,88,90,60680,1305590400,1635342973,9.2
88,2.24,14.99,1,85.05670400000002,86,96,121825,1362355200,1635448335,9.2
89,0.99,9.99,1,90.09009,80,88,550,1354060800,1635450311,9.2
90,0.99,9.99,1,90.09009,80,79,643,1478822400,1635451076,9.2
91,1.89,18.99,1,90.047393,0,0,0,1624924800,1635441561,9.2
92,1.89,18.99,1,90.047393,0,0,0,1624838400,1635441394,9.2
93,1.0,9.99,1,89.98999,80,79,643,1478822400,1635388398,9.2
94,1.0,9.99,1,89.98999,80,79,643,1478822400,1635402227,9.2
95,37.59,99.99,1,62.406241,0,0,0,1623283200,1635266865,9.2
96,1.99,19.99,1,90.045023,0,0,0,1624838400,1635443449,9.2
97,24.99,99.99,1,75.007501,0,0,0,0,1635550978,9.2
98,2.99,14.99,1,80.05336899999998,90,93,5505,1239321600,1635448938,9.1
99,0.99,8.99,1,88.987764,83,82,3985,1181001600,1635378569,9.1
100,1.5,14.99,1,89.993329,80,79,643,1478822400,1635465474,9.1
101,7.99,39.99,1,80.020005,93,97,512395,1431907200,1635343233,9.1
102,1.99,19.99,1,90.045023,80,89,1488,1381968000,1635450524,9.1
103,0.79,7.99,1,90.112641,79,79,247,1099353600,1635450958,9.1
104,5.99,59.99,1,90.01500300000002,88,84,50267,1454630400,1635204302,9.1
105,6.0,59.99,1,89.998333,88,84,50267,1454630400,1635175791,9.1
106,2.0,19.99,1,89.994997,80,89,1488,1381968000,1635465317,9.1
107,0.59,5.99,1,90.15025,81,87,2219,1032652800,1635343093,9.1
108,0.98,8.99,1,89.09899899999998,80,76,3882,1226966400,1635449039,9.1
109,0.98,8.99,1,89.09899899999998,80,76,3882,1226966400,1635430433,9.1
110,36.99,99.99,1,63.006301,0,0,0,1623283200,1635194725,9.1
111,36.99,99.99,1,63.006301,0,0,0,1623283200,1635121918,9.1
112,1.29,12.99,1,90.069284,81,93,2108,1468972800,1635343493,9.1
113,7.49,29.99,1,75.025008,94,92,1804,1130198400,1635449082,9.1
114,7.49,29.99,1,75.025008,94,95,87200,1364169600,1635448226,9.1
115,1.49,9.99,1,85.08508499999998,86,89,57408,1221523200,1635343008,9.1
116,1.99,19.99,1,90.045023,79,85,3127,1219708800,1635449527,9.1
117,1.99,19.99,1,90.045023,79,91,218,1231286400,1635449828,9.1
118,2.0,19.99,1,89.994997,79,89,1516,1377734400,1635465315,9.1
119,21.0,99.99,1,78.9979,0,0,0,0,1635206399,9.1
120,3.16,14.99,1,78.91928,90,94,31576,1378166400,1635453055,9.1
121,8.99,59.99,1,85.014169,88,83,131014,1476921600,1635448159,9.0
122,1.99,19.99,1,90.045023,76,80,52,1489536000,1635472570,9.0
123,20.0,99.99,1,79.998,0,0,0,0,1635119672,9.0
124,2.49,9.99,1,75.075075,92,95,4773,934329600,1635448726,9.0
125,0.99,9.99,1,90.09009,80,79,643,1478822400,1635343293,9.0
126,0.99,9.99,1,90.09009,80,79,643,1478822400,1635376018,9.0
127,4.17,19.99,1,79.13956999999998,90,91,15918,1491868800,1635446792,9.0
128,2.99,29.99,1,90.03001,79,82,12173,1445558400,1635448621,9.0
129,3.0,29.99,1,89.996666,79,82,12173,1445558400,1635387523,9.0
130,4.99,24.99,1,80.032013,0,0,0,1632960000,1635622973,9.0
